street_name,neighborhood
500 Hyde Street,Tenderloin
900 Sutter Street,Lower Nob Hill
3400 Pierce Street,Marina District
1700 Egbert Avenue,Bayview
1400 Thomas Avenue,Bayview
1500 California Street,Polk Gulch
0 Farren Street,Western Addition
0 Berkeley Way,Diamond Heights
2700 25th Street,Mission District
1200 Hayes Street,Western Addition
2200 Franklin Street,Pacific Heights
1800 Vicente Street,Sunset District
1300 15th Street,Mission District
1100 Guerrero Street,Mission District
600 Alabama Street,Mission District
300 Wilde Avenue,Visitacion Valley
100 Ramsell Street,Oceanview
200 16th Avenue,Richmond District
500 Washington Street,Financial District
Chinatown / North Beach Campus,Russian Hill
0 Bass Court,Bayview
1300 Franklin Street,Western Addition
New Corona Heights Trail,The Castro
900 Divisadero Street,Western Addition
1200 Green Street,Russian Hill
200 Beach Street,North Beach
1400 Grant Avenue,North Beach
200 Walnut Street,Presidio Heights
0 Rossi Avenue,Richmond District
800 Franklin Street,Fillmore District
500 Webster Street,Western Addition
100 Guerrero Street,Mission Dolores
1400 Jackson Street,Nob Hill
600 Grant Avenue,Chinatown
200 Myrtle Street,Tenderloin
200 Jones Street,Tenderloin
1400 Chestnut Street,Marina District
500 Clayton Street,Haight-Ashbury
800 Ashbury Street,Ashbury Heights
3800 19th Street,Dolores Heights
1000 Diamond Street,Noe Valley
700 Rhode Island Street,Potrero Hill
2900 22nd Street,Mission District
300 Hale Street,Excelsior
600 Lisbon Street,Excelsior
200 Staples Avenue,Outer Mission
1900 Lawton Street,Sunset District
1300 46th Avenue,Sunset District
200 21st Avenue,Central Richmond
700 32nd Avenue,Richmond District
0 Brookdale Avenue,Visitacion Valley
1200 El Camino Del Mar,Sea Cliff
600 Geneva Avenue,Outer Mission
2200 24th Avenue,Sunset District
2300 Cabrillo Street,Richmond District
0 Bernard Street,Nob Hill
2200 Post Street,Western Addition
500 Diamond Street,Noe Valley
1000 Pine Street,Lower Nob Hill
2700 Octavia Street,Cow Hollow
2500 Turk Street,Richmond District
1200 18th Street,Potrero Hill
1400 40th Avenue,Sunset District
700 La Playa Street,Richmond District
600 Sutter Street,Lower Nob Hill
2900 Broderick Street,Cow Hollow
200 Topeka Avenue,Silver Terrace
1400 32nd Avenue,Sunset District
3200 Anza Street,Richmond District
800 Jackson Street,Chinatown
500 Geary Street,Tenderloin
300 McAllister Street,Civic Center
100 Magnolia Street,Marina District
2400 Octavia Street,Pacific Heights
2600 Broadway,Pacific Heights
2100 Divisadero Street,Pacific Heights
1800 Scott Street,Western Addition
700 Presidio Avenue,Western Addition
0 Stoneybrook Avenue,Excelsior
200 Bacon Street,Excelsior
500 Moscow Street,Excelsior
